anno,des_regione,num_enti_tot,num_enti_con_dich
2022,Umbria,347,136
2022,Campania,1904,754
2022,Sicilia,1812,582
2022,Friuli-Venezia Giulia,572,302
2022,Toscana,1164,451
2022,Sardegna,905,420
2022,Marche,683,303
2022,Calabria,984,354
2022,Lazio,1720,637
2022,Lombardia,3298,1734
2022,Piemonte,2239,829
2022,Emilia-Romagna,1297,608
2022,Provincia autonoma di Trento,499,67
2022,Basilicata,354,112
2022,Valle d'Aosta/Vallée d'Aoste,163,77
2022,Puglia,1204,554
2022,Molise,286,78
2022,Abruzzo,702,229
2022,Liguria,606,229
2022,Veneto,1654,848
2022,Provincia autonoma di Bolzano,489,103
