des_principio,criterio_di_successo,cod_livello_conformita,distribuzione_errore,dat_ultimo_monitoraggio
Robusto,"4.1.2 Nome, ruolo, valore",A,"2,92044",2023-06-30
Percepibile,"1.4.10 Ricalcolo del flusso",AA,"0,04848",2023-06-30
Percepibile,"1.3.1 Informazioni e correlazioni",A,"4,02595",2023-06-30
Percepibile,"1.4.12 Spaziatura del testo",AA,"0,00226",2023-06-30
Comprensibile,"3.2.2 All'input",A,"0,34523",2023-06-30
Comprensibile,"3.1.1 Lingua della pagina",A,"0,05684",2023-06-30
Utilizzabile,"2.2.2 Pausa, stop, nascondi",A,"0,00000",2023-06-30
Percepibile,"1.4.11 Contrasto in contenuti non testuali",AA,"1,82844",2023-06-30
Percepibile,"1.3.5 Identificare lo scopo degli input",AA,"1,01139",2023-06-30
Percepibile,"1.4.3 Contrasto (minimo)",AA,"15,23194",2023-06-30
Percepibile,"1.4.5 Immagini di testo",AA,"0,15966",2023-06-30
Robusto,"4.1.1 Analisi sintattica (parsing)",A,"4,65873",2023-06-30
Utilizzabile,"2.2.1 Regolazione tempi di esecuzione",A,"0,00022",2023-06-30
Percepibile,"1.4.1 Uso del colore",A,"22,52043",2023-06-30
Utilizzabile,"2.4.2 Titolazione della pagina",A,"0,00271",2023-06-30
Comprensibile,"3.1.2 Parti in lingua",AA,"0,00007",2023-06-30
Percepibile,"1.1.1 Contenuti non testuali",A,"4,72797",2023-06-30
Utilizzabile,"2.4.7 Focus visibile",AA,"38,88176",2023-06-30
Utilizzabile,"2.4.4 Scopo del collegamento (nel contesto)",A,"3,14242",2023-06-30
Percepibile,"1.2.3 Audiodescrizione o tipo di media alternativo (preregistrato)",A,"0,00713",2023-06-30
Comprensibile,"3.3.2 Etichette o istruzioni",A,"0,42791",2023-06-30
